DATE,MSPUS_NBD19840101
1963-01-01,22.57661
1964-01-01,23.67104
1965-01-01,25.17198
1966-01-01,26.89181
1967-01-01,28.45528
1968-01-01,31.01939
1969-01-01,32.02001
1970-01-01,29.36210
1971-01-01,31.55097
1972-01-01,34.42777
1973-01-01,40.77548
1974-01-01,45.09068
1975-01-01,49.12445
1976-01-01,55.31582
1977-01-01,61.16323
1978-01-01,69.85616
1979-01-01,78.48655
1980-01-01,80.98812
1981-01-01,86.24140
1982-01-01,86.58537
1983-01-01,94.27767
1984-01-01,100.00000
1985-01-01,105.40963
1986-01-01,115.10319
1987-01-01,130.95685
1988-01-01,140.36898
1989-01-01,150.62539
1990-01-01,152.97061
1991-01-01,150.06254
1992-01-01,151.81363
1993-01-01,158.22389
1994-01-01,163.13321
1995-01-01,166.94809
1996-01-01,175.42214
1997-01-01,181.36335
1998-01-01,190.02502
1999-01-01,200.28143
2000-01-01,209.56848
2001-01-01,216.51032
2002-01-01,232.67667
2003-01-01,240.30644
2004-01-01,272.85804
2005-01-01,295.87242
2006-01-01,304.87805
2007-01-01,306.37899
2008-01-01,287.11695
2009-01-01,269.73108
2010-01-01,278.54909
2011-01-01,281.30081
2012-01-01,305.69106
2013-01-01,332.98937
2014-01-01,357.44215
2015-01-01,367.91745
2016-01-01,381.64478
2017-01-01,403.28330
2018-01-01,406.84803
2019-01-01,400.56285
2020-01-01,421.45091
2021-01-01,496.31019
2022-01-01,572.20138
2023-01-01,.
