DATE,MEHOINUSA646N_NBD19840101
1984-01-01,100.00000
1985-01-01,105.36694
1986-01-01,111.07294
1987-01-01,116.26589
1988-01-01,121.45884
1989-01-01,128.95829
1990-01-01,133.58465
1991-01-01,134.40107
1992-01-01,136.67633
1993-01-01,139.37542
1994-01-01,143.93933
1995-01-01,152.02320
1996-01-01,158.34040
1997-01-01,165.09034
1998-01-01,173.47758
1999-01-01,181.55699
2000-01-01,187.32991
2001-01-01,188.39170
2002-01-01,189.19920
2003-01-01,193.25452
2004-01-01,197.78720
2005-01-01,206.67410
2006-01-01,215.03904
2007-01-01,224.10439
2008-01-01,224.41669
2009-01-01,222.07004
2010-01-01,219.83493
2011-01-01,223.30582
2012-01-01,227.60205
2013-01-01,239.05867
2014-01-01,239.37988
2015-01-01,252.13473
2016-01-01,263.39059
2017-01-01,272.74593
2018-01-01,281.86036
2019-01-01,306.50457
2020-01-01,303.41289
2021-01-01,315.78853
