DATE,MSPNHS
1/1/1963,9.7104
1/1/1964,10.25987
1/1/1965,10.89042
1/1/1966,11.63356
1/1/1967,12.26411
1/1/1968,13.42161
1/1/1969,13.82246
1/1/1970,12.719
1/1/1971,13.62879
1/1/1972,14.88988
1/1/1973,17.67779
1/1/1974,19.46584
1/1/1975,21.20885
1/1/1976,23.9337
1/1/1977,26.4739
1/1/1978,30.15358
1/1/1979,33.91434
1/1/1980,34.97275
1/1/1981,37.19768
1/1/1982,37.4544
1/1/1983,40.78278
1/1/1984,43.24641
1/1/1985,45.5479
1/1/1986,49.84912
1/1/1987,56.57344
1/1/1988,61.26199
1/1/1989,65.06328
1/1/1990,66.08566
1/1/1991,64.86511
1/1/1992,65.55871
1/1/1993,68.17547
1/1/1994,70.48147
1/1/1995,72.11638
1/1/1996,75.53934
1/1/1997,78.39481
1/1/1998,82.13755
1/1/1999,86.38923
1/1/2000,90.01036
1/1/2001,93.2892
1/1/2002,100
1/1/2003,103.43647
1/1/2004,117.72283
1/1/2005,126.58199
1/1/2006,131.36963
1/1/2007,131.73445
1/1/2008,124.52822
1/1/2009,115.93028
1/1/2010,119.57393
1/1/2011,121.23587
1/1/2012,130.85169
1/1/2013,143.27343
1/1/2014,153.04238
1/1/2015,158.75332
1/1/2016,165.65329
1/1/2017,173.83236
1/1/2018,174.63856
1/1/2019,172.55326
1/1/2020,181.05211
1/1/2021,212.92618
1/1/2022,246.37211
1/1/2023,.
