DATE,MSPNHSUS
1963-01-01,17966.666666666667
1964-01-01,18983.333333333333
1965-01-01,20150.000000000000
1966-01-01,21525.000000000000
1967-01-01,22691.666666666667
1968-01-01,24833.333333333333
1969-01-01,25575.000000000000
1970-01-01,23533.333333333333
1971-01-01,25216.666666666667
1972-01-01,27550.000000000000
1973-01-01,32708.333333333333
1974-01-01,36016.666666666667
1975-01-01,39241.666666666667
1976-01-01,44283.333333333333
1977-01-01,48983.333333333333
1978-01-01,55791.666666666667
1979-01-01,62750.000000000000
1980-01-01,64708.333333333333
1981-01-01,68825.000000000000
1982-01-01,69300.000000000000
1983-01-01,75458.333333333333
1984-01-01,80016.666666666667
1985-01-01,84275.000000000000
1986-01-01,92233.333333333333
1987-01-01,104675.000000000000
1988-01-01,113350.000000000000
1989-01-01,120383.333333333333
1990-01-01,122275.000000000000
1991-01-01,120016.666666666667
1992-01-01,121300.000000000000
1993-01-01,126141.666666666667
1994-01-01,130408.333333333333
1995-01-01,133433.333333333333
1996-01-01,139766.666666666667
1997-01-01,145050.000000000000
1998-01-01,151975.000000000000
1999-01-01,159841.666666666667
2000-01-01,166541.666666666667
2001-01-01,172608.333333333333
2002-01-01,185025.000000000000
2003-01-01,191383.333333333333
2004-01-01,217816.666666666667
2005-01-01,234208.333333333333
2006-01-01,243066.666666666667
2007-01-01,243741.666666666667
2008-01-01,230408.333333333333
2009-01-01,214500.000000000000
2010-01-01,221241.666666666667
2011-01-01,224316.666666666667
2012-01-01,242108.333333333333
2013-01-01,265091.666666666667
2014-01-01,283166.666666666667
2015-01-01,293733.333333333333
2016-01-01,306500.000000000000
2017-01-01,321633.333333333333
2018-01-01,323125.000000000000
2019-01-01,319266.666666666667
2020-01-01,334991.666666666667
2021-01-01,393966.666666666667
2022-01-01,455850.000000000000
2023-01-01,.
