DATE,MEHOINUSA646N_NBD19870101,MEHOINUSA646N,CSUSHPINSA_NBD19870101,MSPUS_NBD19870101
1987-01-01,100.00000,26061,100.00000,100.00000
1988-01-01,104.46644,27225,107.37059,107.18720
1989-01-01,110.91670,28906,113.96065,115.01910
1990-01-01,114.89582,29943,116.12178,116.80993
1991-01-01,115.59802,30126,114.59039,114.58930
1992-01-01,117.55497,30636,115.20013,115.92646
1993-01-01,119.87644,31241,116.83793,120.82139
1994-01-01,123.80185,32264,119.93820,124.57020
1995-01-01,130.75477,34076,122.23667,127.48329
1996-01-01,136.18817,35492,124.97887,133.95415
1997-01-01,141.99378,37005,128.76485,138.49093
1998-01-01,149.20763,38885,135.98175,145.10506
1999-01-01,156.15671,40696,145.45034,152.93696
2000-01-01,161.12198,41990,158.13503,160.02865
2001-01-01,162.03523,42228,170.82564,165.32951
2002-01-01,162.72975,42409,184.56317,177.67431
2003-01-01,166.21772,43318,201.84985,183.50048
2004-01-01,170.11627,44334,227.08907,208.35721
2005-01-01,177.75987,46326,259.25918,225.93123
2006-01-01,184.95453,48201,276.92078,232.80802
2007-01-01,192.75162,50233,271.58065,233.95415
2008-01-01,193.02022,50303,247.61072,219.24546
2009-01-01,191.00188,49777,224.20462,205.96944
2010-01-01,189.07947,49276,218.33926,212.70296
2011-01-01,192.06477,50054,210.15367,214.80420
2012-01-01,195.75995,51017,212.78921,233.42884
2013-01-01,205.61375,53585,233.21263,254.27412
2014-01-01,205.89003,53657,248.54646,272.94651
2015-01-01,216.86044,56516,259.84943,280.94556
2016-01-01,226.54158,59039,273.04853,291.42789
2017-01-01,234.58808,61136,288.85865,307.95129
2018-01-01,242.42738,63179,305.57860,310.67335
2019-01-01,263.62381,68703,316.11839,305.87393
2020-01-01,260.96466,68010,335.24661,321.82426
2021-01-01,271.60892,70784,392.51395,378.98758
2022-01-01,.,.,450.52459,436.93887
