DATE,TLRESCONS
2002-01-01,401325.666666666667
2003-01-01,450241.166666666667
2004-01-01,536923.000000000000
2005-01-01,628863.500000000000
2006-01-01,617260.166666666667
2007-01-01,497164.000000000000
2008-01-01,367000.083333333333
2009-01-01,261395.500000000000
2010-01-01,256535.666666666667
2011-01-01,255208.583333333333
2012-01-01,278995.583333333333
2013-01-01,335207.333333333333
2014-01-01,382812.250000000000
2015-01-01,437998.083333333333
2016-01-01,486102.250000000000
2017-01-01,545873.583333333333
2018-01-01,564342.500000000000
2019-01-01,552999.250000000000
2020-01-01,644425.000000000000
2021-01-01,808891.166666666667
2022-01-01,927137.583333333333
2023-01-01,.
